Generation,Fitness Max,Fitness Avg,Collide Border,Collide Snake,Collide Food,Energy Zero,Turn Left,Turn Right,Turn None
0,1.001,0.011000029,100,0,1,0,0,0,0
1,1.001,0.030999957,97,2,3,1,6,35,50
2,1.001,0.01100001,100,0,1,0,3,2,394
3,1.001,0.011000041,100,0,1,0,5,0,52
4,0.001,0.0010000003,99,1,0,0,7,0,0
5,1.001,0.011000002,95,5,1,0,15,3,71
6,0.001,0.0010000003,98,1,0,1,254,3,29
7,0.001,0.0010000003,96,3,0,1,11,256,32
8,0.001,0.0010000003,94,6,0,0,11,9,51
9,2.001,0.020999974,91,8,2,1,14,350,78
10,6.001,0.41099986,96,2,41,2,50,287,42
11,3.001,0.3209998,90,5,32,5,200,531,95
12,20.001,0.6409996,84,5,64,11,459,396,1221
13,33.001,1.5510013,69,11,155,20,1433,179,947
14,29.001,1.0309997,62,7,103,31,1104,1982,60
15,34.001,1.6010013,62,14,160,24,1270,997,67
16,31.001,1.5510011,49,18,155,33,1358,1004,247
17,30.001,1.4610008,56,12,146,32,1576,1042,88
18,32.001,1.6010017,47,16,160,37,1285,2696,356
19,36.001,1.4810007,51,18,148,31,1424,1425,491
