Generation,Max Fitness, Avg Fitness
0,2.001,0.040999956
1,9.001,0.2309998
2,3.001,0.23099989
3,6.001,0.28099993
4,8.001,0.21099989
5,6.001,0.38099957
6,9.001,0.36099955
7,9.001,0.6709995
8,14.001,0.4309996
9,51.001,1.9510044
10,44.001,0.98099947
11,11.001,0.77099955
12,21.001,0.88099974
13,43.001,1.3010001
14,28.001,0.67099947
15,57.001,1.291
16,3.001,0.28100002
17,5.001,0.32099968
18,38.001,0.8609997
19,5.001,0.36099976
20,27.001,1.1509994
21,33.001,1.8010037
22,30.001,1.411
23,39.001,2.1510046
24,43.001,3.4910052
25,30.001,1.2910005
26,31.001,1.6810037
27,52.001,2.0910048
28,61.001,3.1810045
29,74.001,2.8610046
30,60.001,2.1710021
31,75.001,1.7410054
32,70.001,2.0810053
33,84.001,4.2610064
34,65.001,4.1010046
35,59.001,2.8710053
36,38.001,2.2510047
37,48.001,1.8610016
38,100.001,3.0410047
39,63.001,3.8410053
40,90.001,4.651006
41,71.001,4.021004
42,49.001,2.761005
43,61.001,3.7310035
44,69.001,4.511006
45,66.001,3.631005
46,59.001,3.3910046
47,53.001,2.7010038
48,29.001,1.5510014
49,15.001,1.2709997
50,65.001,1.7210033
51,72.001,5.031005
52,63.001,3.6310062
53,65.001,5.021005
54,60.001,3.3910058
55,58.001,3.7010026
56,62.001,4.071005
57,83.001,5.061004
58,108.001,6.830988
59,103.001,8.6509905
60,98.001,6.170998
61,105.001,8.800987
62,107.001,8.200993
63,122.001,5.710996
64,88.001,5.791002
65,108.001,7.4309907
66,84.001,4.9510064
67,120.001,7.74099
68,102.001,8.240988
69,83.001,9.120988
70,76.001,8.040991
71,106.001,10.450989
72,87.001,12.440987
73,87.001,9.98099
74,107.001,11.63099
75,105.001,10.940989
76,75.001,7.0409913
77,77.001,9.01099
78,96.001,16.120987
79,98.001,10.37099
80,127.001,15.460986
81,120.001,7.1409974
82,112.001,9.870992
83,107.001,10.980991
84,112.001,10.270991
85,107.001,7.230992
86,110.001,12.710984
87,119.001,14.380989
88,114.001,18.710985
89,115.001,18.740988
90,106.001,14.440984
91,103.001,14.880989
92,93.001,10.860989
93,97.001,8.500988
94,84.001,9.880985
95,116.001,10.12099
96,99.001,10.330986
97,103.001,8.9509945
