Generation,Fitness Max,Fitness Avg,Collide Border,Collide Snake,Collide Food,Energy Zero,Turn Left,Turn Right,Turn None
0,1.001,0.011000037,41,46,1,13,2434,861,1666
1,1.001,0.021000009,52,32,2,16,100,3114,579
2,1.001,0.011000032,59,28,1,13,688,2632,1921
3,0.001,0.0010000003,71,20,0,9,1161,1285,448
4,0.001,0.0010000003,64,29,0,7,515,1240,1018
5,0.001,0.0010000003,64,28,0,8,702,1035,2149
6,5.001,0.050999932,66,27,5,7,164,1154,1305
7,27.001,0.61099964,43,25,61,32,4890,978,15482
8,10.001,0.42099956,44,13,42,43,6267,32,18891
9,2.001,0.111000225,37,33,11,30,6741,306,9408
10,1.001,0.030999985,41,29,3,30,5380,1022,9774
11,20.001,0.3209995,43,31,32,26,5212,1749,9145
12,11.001,0.1891184,46,33,19,22,4332,931,8857
13,4.001,0.15100022,45,7,15,48,7473,2990,10905
14,4.001,0.16100007,39,23,16,38,5037,4027,7916
15,2.001,0.070999935,45,27,7,28,3051,3653,5552
16,5.001,0.09099999,65,13,9,22,1224,3418,4704
17,8.001,0.22100018,58,19,22,23,3602,29,9282
18,2.001,0.070999935,48,27,7,25,3816,1162,5157
19,2.001,0.16100018,56,7,16,37,2934,1225,8129
20,6.001,0.16099986,44,23,16,33,2744,3184,6119
21,12.001,0.27099988,52,15,27,33,1602,2329,7939
22,22.001,0.41099972,59,17,41,24,2908,1019,9102
23,16.001,0.40099946,46,14,40,40,6344,1380,11159
24,19.001,0.45099944,64,15,45,21,2919,714,7091
25,18.001,0.45099944,48,22,45,30,4573,391,9937
26,18.001,0.39099944,47,20,39,33,3789,1037,7586
27,38.001,0.67099947,37,16,67,47,4238,1181,9374
28,6.001,0.1310001,61,25,13,14,116,415,2968
29,13.001,0.23099959,47,19,23,34,6415,380,5531
30,9.001,0.2809997,52,29,28,19,1005,1361,2223
31,27.001,0.42099944,48,19,42,33,4947,563,10823
32,9.001,0.4109996,53,24,41,23,446,1985,5906
33,3.001,0.19099998,53,19,19,28,3106,1645,8420
34,5.001,0.35099965,39,24,35,37,4176,1762,14694
35,8.001,0.6109995,50,6,61,44,4993,658,21435
36,6.001,0.13100037,51,37,13,12,568,1387,2978
37,5.001,0.30099985,56,19,30,25,2675,149,11546
38,76.001,1.0109996,66,20,101,14,1070,708,8102
39,17.001,0.8809996,54,18,88,28,1647,53,19089
40,16.001,0.38099968,48,31,38,21,1132,1460,7724
