Generation,Fitness Max,Fitness Avg,Collide Border,Collide Snake,Collide Food,Energy Zero,Turn Left,Turn Right,Turn None
0,0.001,0.0010000003,100,0,0,0,0,0,0
1,2.001,0.030999951,97,3,3,0,6,3,0
2,1.001,0.011000046,99,1,1,0,5,1,78
3,0.001,0.0010000003,96,3,0,1,44,4,115
4,1.001,0.011000024,87,12,1,1,41,252,49
5,3.001,0.22099987,96,3,22,1,137,21,25
6,5.001,0.18099996,95,3,18,2,104,26,25
7,4.001,0.25099996,100,0,25,0,6,27,91
8,2.001,0.25100005,100,0,25,0,3,27,72
9,2.001,0.24100009,96,4,24,0,15,28,54
10,4.001,0.3909997,98,1,39,1,38,35,75
11,7.001,0.49099967,95,3,49,2,405,45,28
12,4.001,0.23099989,89,9,23,2,324,30,4
13,3.001,0.37099975,85,9,37,6,1100,278,49
14,4.001,0.41099966,87,11,41,2,728,29,52
15,4.001,0.39099964,89,10,39,1,383,25,185
16,6.001,0.6209996,93,5,62,2,39,418,379
17,3.001,0.46099967,94,5,46,1,34,78,151
18,5.001,0.39099964,93,7,39,0,32,31,28
19,7.001,0.40099975,89,5,40,6,566,536,168
20,6.001,0.6409996,73,11,64,16,1910,166,132
21,4.001,0.44099972,71,9,44,20,2794,27,169
22,30.001,0.7309995,83,4,73,13,1837,15,232
23,35.001,1.2309995,66,5,123,29,2851,21,1794
24,20.001,1.0309995,68,7,103,25,2822,7,1923
25,20.001,1.2309995,47,6,123,47,4209,20,5937
26,47.001,1.8510028,59,5,185,36,1696,25,9389
27,23.001,2.8310032,66,2,283,32,1857,56,10030
28,34.001,2.981004,54,5,298,41,2463,106,7909
29,25.001,2.9210043,42,6,292,52,3039,71,14793
30,35.001,3.5710049,47,4,357,49,3747,57,13145
31,33.001,3.3310046,53,4,333,43,2860,75,16563
32,51.001,4.5110035,51,5,451,44,2933,129,23453
33,61.001,4.341004,45,5,434,50,3767,105,26427
34,52.001,3.3510048,50,2,335,48,2948,183,25376
35,49.001,3.0910046,56,5,309,39,2328,158,17389
36,50.001,4.5910053,51,4,459,45,2463,93,20520
37,35.001,3.8410046,58,4,384,38,2833,115,12155
38,53.001,3.6210043,62,4,362,34,2101,101,17172
39,35.001,3.0710053,44,4,307,52,3975,91,20263
40,49.001,5.0910053,53,1,509,46,2923,137,27817
41,62.001,6.1409955,49,4,614,47,3845,148,26690
42,37.001,3.9710042,48,6,397,46,2580,474,16666
43,108.001,5.5610023,43,6,556,51,3495,138,23589
44,98.001,7.5409946,35,8,754,57,4020,226,37276
45,101.001,8.440998,43,7,844,50,3146,246,42911
46,73.001,5.201004,51,6,520,43,2883,413,29687
47,65.001,4.001005,46,6,400,48,3758,111,21663
48,93.001,7.8809986,56,14,788,30,2577,183,39906
49,89.001,7.1709957,58,4,717,38,2755,481,40246
50,82.001,8.110993,51,8,811,41,3147,527,35914
51,84.001,8.100991,56,11,810,33,3059,292,32818
52,95.001,7.540998,54,11,754,35,3123,491,39211
53,86.001,5.510997,51,10,551,39,4202,216,24280
54,70.001,5.5409975,40,14,554,46,3021,471,27042
55,50.001,5.291001,43,14,529,43,3435,192,25670
56,44.001,4.581004,59,5,458,36,2829,130,20270
57,71.001,6.2009997,58,5,620,37,3086,208,19644
58,69.001,8.660993,49,6,866,45,3493,287,20353
59,45.001,4.371006,56,4,437,40,2055,151,10488
60,79.001,6.9309993,59,7,693,34,3001,226,19735
61,74.001,3.871004,62,4,387,34,3244,116,15618
62,52.001,4.4910045,60,8,449,32,2240,116,9874
63,87.001,8.12099,54,8,812,38,3431,375,15370
64,90.001,6.460989,65,6,646,29,2361,159,16414
65,83.001,7.170987,39,7,717,54,3936,258,14476
66,79.001,6.0909953,39,6,609,55,3263,848,13942
67,96.001,5.6509967,59,11,565,30,2410,182,16344
68,76.001,6.1209993,43,9,612,48,2720,193,9856
69,91.001,7.680996,42,13,768,45,2946,263,14116
70,101.001,10.320984,44,11,1032,45,3886,319,11473
71,132.001,9.600986,43,18,960,39,3369,266,19924
72,95.001,9.630984,43,13,963,44,3474,299,12898
73,109.001,10.15099,39,17,1015,44,3889,396,6295
74,108.001,8.580986,37,16,858,47,3518,267,24020
75,92.001,11.150989,46,15,1115,39,3846,264,10119
76,105.001,10.210991,45,28,1021,27,3217,259,6166
77,106.001,11.360987,38,32,1136,30,3900,356,16214
78,102.001,14.560986,41,21,1456,38,4395,370,22464
79,99.001,14.0609865,39,21,1406,40,4303,327,17903
80,118.001,16.090986,38,19,1609,43,4531,1164,28231
81,119.001,12.470982,59,20,1247,21,3117,446,9458
82,108.001,10.310991,42,17,1031,41,3257,891,13396
83,107.001,15.53099,38,25,1553,37,4071,1399,29565
84,112.001,9.530984,38,24,953,38,3283,1150,20093
85,123.001,15.710982,36,24,1571,40,4611,2088,34657
86,123.001,14.970989,50,26,1497,24,3933,659,33016
87,122.001,11.680985,50,24,1168,26,3209,723,28492
88,122.001,14.330986,28,23,1433,49,4362,599,24416
89,122.001,14.960981,37,27,1496,36,4602,1425,18715
90,105.001,12.720994,40,25,1272,35,4334,1413,16162
91,129.001,13.910992,45,31,1391,24,4158,1117,11469
92,127.001,18.220987,44,26,1822,30,5177,654,9801
93,117.001,19.530983,32,23,1953,45,5419,549,5072
94,131.001,17.040985,44,17,1704,39,4784,454,16160
95,130.001,21.110987,39,25,2111,36,5343,1400,11177
96,134.001,16.880981,38,30,1688,32,4263,727,15961
97,122.001,16.250982,30,36,1625,34,4629,420,17034
98,111.001,17.320986,39,24,1732,37,4688,865,10043
99,123.001,24.090984,38,31,2409,31,6074,1281,17297
